id,name,purposes,legIntPurposes,flexiblePurposes,specialPurposes,features,specialFeatures,cookieMaxAgeSeconds,usesCookies,cookieRefresh,usesNonCookieAccess,dataRetention,urls,dataDeclaration,deviceStorageDisclosureUrl,overflow,deletedDate
1147,MADINAD PC,"[1, 2, 3, 4, 5, 7]",[10],[],"[1, 2]",[3],"[1, 2]",604800.0,True,True,True,"{'stdRetention': 7, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://madinad.com/privacy-policy/', 'legIntClaim': 'https://madinad.com/privacy-policy/'}]","[1, 2, 6]",https://static.madinad.com/static/iab-tcf.json,,
1148,ORANGE CLICK MEDIA &amp; COMMERCE LTD,"[1, 2, 3, 4, 5, 6, 7]",[],[],"[1, 2]","[1, 3]",[],34560000.0,True,True,True,"{'stdRetention': 400, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://orangeclickmedia.com/privacy-policy/', 'legIntClaim': 'https://orangeclickmedia.com/legitimate-interest-claim/'}]","[1, 2, 4, 6, 8, 11]",https://orangeclickmedia.com/device_storage_disclosure.json,,
1149,AdInMo LTD,[],"[2, 7, 10]","[2, 7, 10]","[1, 2]","[1, 3]",[],,False,False,False,"{'stdRetention': 365, 'purposes': {'2': 30, '10': 4320}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.adinmo.com/privacy-policy/', 'legIntClaim': 'https://www.adinmo.com/privacy-policy/'}]","[1, 2, 3, 4, 11]",https://rtb.adinmo.com/iab-tcf-vendor,,
1151,Boldwin LTD,[9],"[2, 7, 10]","[2, 7, 10]","[1, 2]",[3],[1],,False,False,True,"{'stdRetention': 30, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://bold-win.com/privacy-policy/', 'legIntClaim': 'https://bold-win.com/privacy-policy/'}]",[1],https://magav.videowalldirect.com/iab/videowalldirectiab.json,{'httpGetLimit': 128},
1153,Sonares GmbH,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],[],"[1, 2]","[1, 3]",[],,False,False,True,"{'stdRetention': 365, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'de', 'privacy': 'https://sonares.org/datenschutz', 'legIntClaim': 'https://sonares.org/datenschutz'}, {'langId': 'en', 'privacy': 'https://sonares.org/en/datenschutz/', 'legIntClaim': 'https://sonares.org/en/datenschutz/'}]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",https://content.sonares.org/disclosure.json,{'httpGetLimit': 128},
1154,Alphonso Inc. ,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[],[],[],"[1, 2, 3]",[2],,False,False,True,"{'stdRetention': 800, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu/'}, {'langId': 'bg', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-bulgarian/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-bulgarian/'}, {'langId': 'hr', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-croatian/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-croatian/'}, {'langId': 'cs', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-czech/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-czech/'}, {'langId': 'da', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-danish/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-danish/'}, {'langId': 'nl', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-dutch/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-dutch/'}, {'langId': 'fi', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-finnish/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-finnish/'}, {'langId': 'et', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-estonian/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-estonian/'}, {'langId': 'fr', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-fr/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-fr/'}, {'langId': 'gl', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-gaelic/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-gaelic/'}, {'langId': 'de', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-de/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-de/'}, {'langId': 'el', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-greek/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-greek/'}, {'langId': 'hu', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-hungarian/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-hungarian/'}, {'langId': 'it', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-it/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-it/'}, {'langId': 'lv', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-latvian/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-latvian/'}, {'langId': 'lt', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-lithuanian/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-lithuanian/'}, {'langId': 'mt', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-maltese/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-maltese/'}, {'langId': 'pl', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-polish/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-polish/'}, {'langId': 'pt', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-portuguese/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-portuguese/'}, {'langId': 'ro', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-romanian/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-romanian/'}, {'langId': 'sk', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-slovak/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-slovak/'}, {'langId': 'sl', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-slovenian/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-slovenian/'}, {'langId': 'es', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-es/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-es/'}, {'langId': 'sv', 'privacy': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-swedish/', 'legIntClaim': 'https://alphonso.tv/privacy/smart-tvs/smart-tv-privacy-policy-eu-swedish/'}]","[1, 2, 3, 4, 6, 8, 11]",https://cdn.alphonso.tv/static-assets/iab-tcf/policy/device-storage-disclosure.json,,
1155,Bootleg Digital LTD,"[7, 9]",[],[],[],"[1, 2, 3]","[1, 2]",30.0,True,False,False,"{'stdRetention': 90, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://kubico.com/privacy-policy/'}]",[1],https://kubico.com/TCF/kubico-disclosures-and-domains.json,,
1156,ividence,"[1, 2, 3, 4, 5]",[7],[],"[1, 2]","[2, 3]",[],33696000.0,True,True,False,"{'stdRetention': 390, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'fr', 'privacy': 'https://ividence.com/politique-de-confidentialite/', 'legIntClaim': 'https://ividence.com/politique-de-confidentialite/'}]","[1, 2, 5, 6, 7, 8, 10, 11]",https://itm.ivitrack.com/tcf.json,,
1157,Refine Direct Srl,"[1, 7, 10]",[],[],"[1, 2]",[3],[],,False,False,True,"{'stdRetention': 1, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'it', 'privacy': 'https://www.refine.direct/it/cookie-policy/', 'legIntClaim': 'https://www.refine.direct/it/legitimate-interest-assessment/'}, {'langId': 'en', 'privacy': 'https://www.refine.direct/en/cookie-policy/', 'legIntClaim': 'https://www.refine.direct/en/legitimate-interest-assessment/'}]","[1, 2, 4]",https://cdn.refine.direct/tcf2/tcf2.json,,
1159,Live Data Solutions SL,"[3, 5, 10]",[],[],[],"[1, 2, 3]",[],,False,False,False,"{'stdRetention': 30, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'fr', 'privacy': 'https://www.livedata-solutions.com/politique-de-confidentialite'}]","[1, 2]",https://red.instant-mail.com/livedata.json,,
